Genes	Protein.Group	Protein.Names	DOUBLEdep_1	DOUBLEdep_2	DOUBLEdep_3	SONdep_1	SONdep_2	SONdep_3	SRRM2-dep_1	SRRM2dep_2	SRRM2dep_3	control_1	control_2	control_3	Top3_DOUBLEdep_1	Top3_DOUBLEdep_2	Top3_DOUBLEdep_3	Top3_SONdep_1	Top3_SONdep_2	Top3_SONdep_3	Top3_SRRM2-dep_1	Top3_SRRM2dep_2	Top3_SRRM2dep_3	Top3_control_1	Top3_control_2	Top3_control_3	peptides_counts_all
ABCA4	P78363	ABCA4_HUMAN	NA	NA	NA	NA	NA	NA	7239.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABCB10	Q9NRK6	ABCBA_HUMAN	5866.07	3655.28	5387.88	4339.46	6103.16	4035.04	5383.04	3969.59	3607.19	4937.15	6850.5	4598.16	5100.98945361127	3540.59617309523	5652.08280062309	4783.21284290069	5406.73130252258	3248.79486373363	3862.76361472236	3602.80859174822	2961.53356660814	3986.52100369258	5373.81835777938	NA	3
ABCB7	O75027;O75027-2;O75027-3	ABCB7_HUMAN	8133.92	4886.72	NA	NA	7997.55	NA	5872.46	5290.77	4513.78	5571.3	3098.26	6549.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABCC1	P33527;P33527-2;P33527-4;P33527-6;P33527-9	MRP1_HUMAN	10129.4	11054	11985.5	11147.9	10518.4	9867.18	10054.5	9703.17	9940.7	8780.72	9152.63	10689.4	11251.0720735147	10143.2218630112	12762.4573534184	11203.0971431114	10225.3978656302	11040.4178493066	9473.1498700905	10751.1222632501	9464.54197755952	8682.8434929238	8210.32304142746	10415.3204696128	14
ABCC12	Q96J65;Q96J65-2;Q96J65-3;Q96J65-5	MRP9_HUMAN	NA	NA	NA	NA	686.418	1404.57	NA	NA	2423.32	NA	1745.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABCC4	O15439;O15439-2	MRP4_HUMAN	21548.9	21474.5	20710.9	23643.4	25327.7	19063.4	21996.7	18084.1	19577.9	24403.2	26017.1	20946.6	14829.7290747811	15814.4811901033	14537.2589453532	16563.4750204694	15002.5527158924	12255.0006663991	10788.4612559538	11865.7910106026	14568.7960057855	16241.8156430755	16724.2898813457	11550.0000092422	9
ABCD1	P33897	ABCD1_HUMAN	3888.09	3148.67	2547.36	2315.83	3712.29	934.475	3987.13	2857.12	3319.02	4876.51	3838.89	6290.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABCD3	P28288	ABCD3_HUMAN	20649.9	21223.8	21314.3	18541.2	18492.9	21172.8	17343.1	17482.3	20327.5	18732.6	17549.3	15294.8	18913.0489198141	19586.2106980215	18509.7013399945	15598.996177557	17909.2390425151	21107.1543302363	14119.6317451603	21144.808936405	19069.0109465878	18919.2923389956	18656.0596506877	14532.77879307	15
ABCE1	P61221	ABCE1_HUMAN	219747	234238	208967	230938	207121	216224	195254	233228	193449	176565	170359	173300	198738.12967555	249091.344722827	218233.468180114	202453.591725454	179603.500093978	237481.765274757	91615.9851332037	224155.562464351	186103.881489947	126710.905109105	117916.50721458	109288.624277724	27
ABCF1	Q8NE71	ABCF1_HUMAN	44112.5	45109	47134.5	49766.6	51309.3	50337.3	42800.8	56801.9	48260.6	52339.8	42957.6	40177.5	42750.4255438049	51190.8211459754	53163.1805484966	55065.4579383883	49762.842288934	60615.0405027672	35553.94083707	72061.5602135661	52556.7571986522	48513.4250424944	43523.4027767207	35198.5866258962	15
ABCF2	Q9UG63;Q9UG63-2	ABCF2_HUMAN	127462	125494	118634	143688	141650	138538	150852	132859	135930	153953	166187	146419	107947.818383941	117348.423853685	106207.335491387	112212.613372789	109607.679301708	134344.611716014	122574.714170234	145105.563075483	126960.319604075	126593.239528941	128855.873073844	123711.725176727	35
ABCF3	Q9NUQ8	ABCF3_HUMAN	15555.3	15747.5	10926.9	15939.6	14249.2	17859.3	14150.7	27315.3	23256.1	16307.3	16171.3	13879.3	10406.0370721444	13999.6798240146	10905.7878053116	15327.9574135379	9504.03118762051	15807.5716720254	8497.51468367791	25170.0486103831	23325.6889407309	12706.412052732	11350.9433202108	10125.914194995	12
ABHD10	Q9NUJ1	ABHDA_HUMAN	200905	250324	230115	264669	192792	278414	128367	242327	257282	194446	159515	194852	170221.65495428	234250.67443983	218171.145902754	241863.006867581	184479.707292748	292749.169002201	137501.321853523	232496.796174123	240388.711263	163993.038067546	154080.103911242	164809.581401706	12
ABHD11	Q8NFV4;Q8NFV4-4	ABHDB_HUMAN	16064.2	14326.6	15656.5	14828.8	14653.2	15763.1	15259.6	17755.3	17568.5	19131.9	21512.4	19806.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ABHD12	Q8N2K0;Q8N2K0-2	ABD12_HUMAN	24843.1	23172	21650.4	21061.8	26079.8	15481.1	23761.6	25727.1	20850.9	20705.3	20584.2	21421.5	14339.1380698875	12877.6413246551	13178.3819135075	12599.3935625317	11395.0341574414	7803.15683087728	NA	13891.1464706085	12096.5506920456	9200.12778707215	11865.881335586	NA	3
ABHD14B	Q96IU4	ABHEB_HUMAN	59142.5	53116.9	61921.2	53625.6	63144	54717.4	68291.1	49502	59080.4	70099.3	89722.6	76138.1	20226.852545186	23156.6304267758	24845.6130905014	22597.5735789555	21686.4162418428	16687.1946621919	20359.5969333382	25691.0815991877	24760.8150444156	21943.1092191305	25255.6406765999	21766.3653412447	7
ABHD16A	O95870;O95870-2	ABHGA_HUMAN	NA	1337.01	3073.39	2921.41	NA	7156.15	NA	4537.6	6946.96	1349.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABHD17B	Q5VST6;Q5VST6-2	AB17B_HUMAN	NA	NA	NA	NA	1337.67	8385.17	NA	1883.66	5286.24	3880.82	NA	2126.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABHD6	Q9BV23	ABHD6_HUMAN	5607.35	6322.67	6086.25	5885.73	4355.91	5911.44	4495.4	NA	5868	3210.46	5004.85	5690.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ABI1	Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9	ABI1_HUMAN	12112.7	11548.8	12774	13993.3	12121.8	11758.4	13424.8	12658.7	11930.5	11017.8	13125.3	12604.3	10115.6230681722	10009.4737306224	11298.137965827	12058.6366096336	11074.8194279862	10446.0036003237	8173.3634521271	11289.2173421873	10615.2573552746	9340.08771248935	10817.9372705228	10559.0441579261	5
ABI2	Q9NYB9;Q9NYB9-2;Q9NYB9-4	ABI2_HUMAN	12462	12002.6	14237.5	12991.9	16224.5	5636.53	19968.9	10627.9	10605.1	15334.4	20976.4	17617.4	9512.47494939387	7888.29699552944	7400.71531572195	6015.54302419984	8415.4616972052	4999.9160811562	9706.84045682779	8661.67651734795	7694.32088430282	7719.54709725389	9836.14285433254	9177.16790788581	3
ABITRAM	Q9NX38	ABITM_HUMAN	5904.67	3641.42	5941.84	7161.11	5089.67	4377.26	4438.57	4574.63	NA	2958.07	2865.07	4199.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ABL1	P00519;P00519-2	ABL1_HUMAN	10063.4	9287.61	8675.95	9308.87	9154.46	9108.63	6263.19	7503.71	9104.47	9475.5	7527.15	8680.03	5335.82644251504	4334.02409197391	3535.16601600889	2345.66547049553	4193.57995486655	3514.57269592003	3443.07553961006	2619.48407101883	4861.63145129059	4631.68876351788	2151.49047017165	3657.59401993924	4
ABL2	P42684;P42684-10;P42684-2;P42684-3;P42684-4;P42684-5;P42684-6;P42684-7	ABL2_HUMAN	6181.92	5625.09	5244.11	5755.38	4601.08	5552.32	5441.99	6390.87	5577.17	5343.19	NA	5979.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ABLIM1	O14639-2;O14639-6	ABLM1_HUMAN	27235.9	23621.2	27088.9	28460.7	28544	25452.8	17187.1	21051	27720.6	24277.8	17227.5	26207	13798.3952543684	17045.180791599	12665.032881179	16520.1649483862	15340.8935697805	18589.4904678547	10224.2115933254	13806.5581410165	17147.5019734968	11893.393836691	9867.26484021172	14524.7773989868	6
ABR	Q12979;Q12979-2;Q12979-4	ABR_HUMAN	11027.1	11025	10687.8	9280.74	11359.7	10676.3	9860.99	9399.19	9575.12	10282.3	9626.4	8893.79	9452.97571715464	10547.8368257656	11341.5708902448	10018.0525871059	10675.4931422536	9199.63056967424	9415.65083249803	10036.8112591586	8450.6964708007	10050.5908064566	9011.40771750737	9309.26313034491	7
ABRACL	Q9P1F3	ABRAL_HUMAN	26627.9	23903.2	25402.1	24653.6	30118.1	21131.5	26486	17015.6	22144.9	27922.6	33270.7	31136.3	10035.2019553513	7285.34509344553	13439.1315289597	18508.0614897089	21838.8210267512	15253.4105350677	13436.0922867123	12996.454949364	12606.3864147813	19119.7410115641	15891.9937079918	11903.7902030248	4
ABRAXAS2	Q15018	ABRX2_HUMAN	28708.4	32955.5	26949.6	29970	21252.1	29469.5	16673.8	31224.8	28512.7	22987.5	15355.1	22510.3	21557.0753961046	23586.161355536	22376.3634163659	21801.0923357365	15555.907769744	27176.8712072354	13118.6617172068	25363.5656507832	26772.9730225324	15047.650077962	12222.7931361612	13493.023842614	6
ABT1	Q9ULW3	ABT1_HUMAN	30511.1	34179.5	37789.4	31420.8	33172.4	32242.9	33613.2	33144.6	33884.8	32850.4	32061	42387.2	31248.9921004066	33883.6662501547	37545.8585691347	27940.9650301874	31375.1674933905	31315.2420035258	28132.2252153193	30292.2604541962	33454.894019575	29542.0459009371	24896.1086909828	30494.1089930919	6
ACAA1	P09110	THIK_HUMAN	35963.2	41804.7	39267.1	45252.4	39436.5	40077.5	34262.4	48611.2	49591.8	47773.6	40771.6	48995.4	26499.8654443006	34505.362701036	31722.4421813999	36974.9632142903	29983.2847799088	30529.8739910936	23955.7670930771	41187.5308202252	44100.4723311761	37752.8892102878	28223.7549675727	31799.0474217553	9
ACAA2	P42765	THIM_HUMAN	14766.9	10712	7657.57	11764.9	8696.45	9438.7	11497.2	10100.8	11701.5	11120.8	12893.6	14577.6	11060.7816456228	9465.31498581051	8658.84416144978	11356.6672586083	7086.83046716716	10227.524454294	NA	10319.3995492061	13557.2440767574	6372.55128114091	NA	7508.77120709876	3
ACACA	Q13085;Q13085-2;Q13085-3;Q13085-4	ACACA_HUMAN	34930.1	29489	35481.6	31177.5	31183.8	31615.9	32810.9	32524	35219.9	29725.4	30685.5	32699.4	26121.0513818748	24326.12351138	26801.2292202334	24872.2187152719	23658.1642940688	21564.3668335419	22007.0886060348	30189.0437589954	28533.4920578601	23501.5269578851	22172.760434134	45569.650003689	22
ACAD10	Q6JQN1;Q6JQN1-5	ACD10_HUMAN	8913.07	8158.39	NA	10574.8	6915.3	7698.9	4953.55	3161.96	5611.93	6411.68	4084.97	6191.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACAD8	Q9UKU7;Q9UKU7-2;Q9UKU7-3	ACAD8_HUMAN	29442.2	26546.6	18517.3	28970	22751.1	19436.2	23295.4	27829.1	NA	31264.5	28009.9	30682.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACAD9	Q9H845	ACAD9_HUMAN	31467.8	25693.5	27826.9	28190.2	25757.4	28250.1	28191.8	26769.7	28793.7	32628.5	34543.1	31642.4	27421.5147632946	20496.8555351877	21824.5127770029	20293.651089843	18401.8640034285	24446.8535955087	25781.5366645468	24345.7742652013	21219.7480084912	24250.4032322687	28487.1260403051	22080.4739354817	9
ACADM	P11310;P11310-2	ACADM_HUMAN	90985.8	105990	92701.4	94309.6	86069.5	81877.3	80404.7	91901.1	90499.5	89753.4	79738	63052.1	73442.7897786275	72573.1723980394	75803.3212359339	71598.5153570133	64992.2062080786	49529.6151858408	59101.489433684	73387.9893112125	75549.8172389645	65420.3318560526	65224.0479222378	51123.5832766204	13
ACADS	P16219	ACADS_HUMAN	5437.59	6458.68	5888.14	5025.29	4290.04	5079.3	9245.28	6217.38	7983.23	6780.63	8270.19	8162.84	5295.73983343571	6212.00228379277	4394.81720585887	5208.15838922488	NA	7300.77362926563	4277.70395269756	7915.06822703238	9292.76838044719	4049.12293633748	4644.69785844855	5863.89888552952	5
ACADSB	P45954	ACDSB_HUMAN	56267.3	58257.5	56812.2	52355.2	59022.2	64520.7	41963.4	52231.3	55122.9	55560.4	40713.7	47860.6	48525.2514493586	55561.2948024848	60767.7240859849	53777.1912848389	52932.6586551531	70541.5504690519	33691.2105282164	50268.79851644	57217.4634414313	50445.4431019441	29385.0087503515	39893.6407823239	11
ACADVL	P49748;P49748-3	ACADV_HUMAN	98169.6	103842	94465.4	97453.9	94086.7	93302.5	100693	93864.3	95435.7	106275	100290	112973	81363.0238524507	91810.5532301643	84685.6037104332	84108.7503265238	78545.700878713	52043.058201119	66327.0324784672	87813.7800269311	87768.9933636254	85013.4337066259	75097.330702847	79259.4455689144	27
ACAP2	Q15057	ACAP2_HUMAN	27965.8	30094.7	31420.1	35018	38105.1	31696.3	30818.7	28235.8	32692.6	36476.5	31205.5	33428.7	20949.4371367608	19718.8469058423	28680.8411523025	26101.1543482088	32079.6913875646	19605.1441490828	16681.3570352821	23987.3688403224	26271.4837513628	23340.3046597514	22659.7228474989	24441.7229597374	12
ACAT1	P24752	THIL_HUMAN	110020	110981	112609	115965	105465	107947	81330.9	93121.8	105087	103559	93209.3	84911.9	97634.1205100992	97711.4406225781	93697.3224160585	98366.0674248452	98683.8331742637	97045.8406268807	63595.022076816	88954.3082151132	93680.7369896686	88899.8514678583	74127.6112779454	79736.0481914113	20
ACAT2	Q9BWD1	THIC_HUMAN	54727.3	55579.9	54983.9	55068.2	50700.3	50503.6	45785.9	47698.8	54668.5	45335.2	42820.3	42920.6	46405.3691744502	31968.9889077526	51768.935922571	40781.4845722825	48977.0557220173	31609.6688186549	42068.2968842591	25436.3521992626	37981.2413863288	41875.2988969478	27917.001514229	35664.7115842521	13
ACBD3	Q9H3P7	GCP60_HUMAN	27853.2	24263	21594.4	23723.9	24807.4	24873.6	22195.4	23201.4	25153	17274.1	21430.8	23822.8	19165.5848303799	22688.6851887512	18508.4687551949	21660.7599532429	17004.1310462076	25357.2553777434	11229.3719298262	25704.4199026277	24351.2935893349	14028.313902965	11515.6776117325	13715.8490310946	8
ACBD5	Q5T8D3;Q5T8D3-2;Q5T8D3-3	ACBD5_HUMAN	7016.88	8506.41	8647.74	9469.43	8967.33	9923.67	9205.86	8731.63	10545.3	9318.05	7735.85	9583.73	5460.74109866812	6338.08908719738	8771.84317889909	8043.32976141116	8225.29117091022	9016.02623552863	7699.11114496078	9245.70518477958	9136.32441361081	7785.69218211031	6391.01766327644	8708.03654229038	5
ACBD6	Q9BR61	ACBD6_HUMAN	20599	15941.7	20629.2	16589	23310.2	15351.1	25953.2	17293.2	19424.9	28877.1	27920.1	25825.7	16656.547464397	15594.5679369847	18394.7950803757	14864.5766780427	13572.2694219299	13807.4366462265	14663.4499920355	18420.3558836232	18169.1758194487	24584.5959007141	16466.4409680489	20794.9416634154	6
ACBD7	Q8N6N7	ACBD7_HUMAN	10755.8	13518.3	9298.7	8904.95	8568.2	9550.81	NA	13531.4	9275.72	11397.5	NA	3676.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACCSL	Q4AC99	1A1L2_HUMAN	7254.48	12945.5	11877.5	11129.1	NA	13678.6	NA	9586.96	5816.58	13894.4	7945.01	6021.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACIN1	Q9UKV3;Q9UKV3-5	ACINU_HUMAN	172096	173199	167476	178213	178930	182860	175229	188861	188159	179204	176214	186838	110769.843602002	105588.779672905	107148.84308941	104467.416507462	118868.433114029	134086.694644514	129117.501932745	120130.920006216	106646.94104808	104226.709854116	123389.519287793	132803.533376094	26
ACLY	P53396	ACLY_HUMAN	302771	324513	287680	282906	283989	315352	296958	328291	296790	282301	279216	282350	304668.378467353	298945.019548925	291692.669633951	285919.006395608	302606.08305279	307607.296381441	266973.94240714	318163.418717596	313902.627743136	281731.104441682	294006.974106838	290615.37193352	49
ACO1	P21399	ACOC_HUMAN	76502.2	70667.8	73462.3	77553.1	67627.7	73075	72499.1	64384.4	77665.2	70417.4	56237.8	45071.8	61692.0079369921	71800.0954107487	57988.9302906716	63548.6073482195	44667.8990270984	98962.5538168601	41049.2706387247	68240.8151319236	79565.7711438567	38228.501501071	38257.0238600225	32505.5178093587	20
ACO2	Q99798	ACON_HUMAN	47161.6	49231.6	49653.5	53115.8	47084.8	53630	46471.7	62693.8	58382.2	54367.4	48216.5	54074.5	41055.4869059791	47409.0488953942	48029.1926225479	44593.319322811	45661.3726629477	50376.8786153355	49282.1295030453	64479.3468481884	51260.525896462	52758.8655057898	54083.7794823865	63011.7275750726	34
ACOT11	Q8WXI4;Q8WXI4-2	ACO11_HUMAN	NA	NA	NA	NA	NA	NA	NA	3730.6	3122.2	3808.67	3893.25	3595.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACOT13	Q9NPJ3;Q9NPJ3-2	ACO13_HUMAN	64608.1	66032.7	56519.4	66377.9	57481.3	54669	88866.5	66352.7	93896	53799.6	33816.1	79251.2	21307.5227044658	27920.1870359936	24683.7044665585	24254.6853158479	NA	20691.3627630819	11310.6507336527	30735.8116232904	33667.2307075299	11691.9245987188	9608.44596935846	11370.4995321289	3
ACOT7	O00154;O00154-4;O00154-6;O00154-7	BACH_HUMAN	468135	476789	409675	483346	461516	404398	394692	469407	394719	426238	395813	421649	389969.826256983	401732.921906939	363986.147717347	399416.268983314	402173.280406258	258691.957990721	277953.882379999	379943.017724582	296923.979453746	342644.806490376	251962.344875752	290810.826730206	19
ACOT7L	Q6ZUV0	BACHL_HUMAN	NA	4129.27	5148.67	NA	NA	8504.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACOT8	O14734	ACOT8_HUMAN	3912.52	4689.39	4936.75	3552.69	3505.24	6711.12	2424.64	7002.09	7741.92	4523.51	3634.5	2238.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ACOT9	Q9Y305	ACOT9_HUMAN	29167.2	30547.7	26601.5	31197	28896.6	29024.9	23300.4	28332.2	25000.6	27128.8	26298.6	29061.8	18418.0381623814	24793.8785143965	21785.1977488384	23464.7974713333	15172.7288626742	27498.2428969842	10962.9218343205	25000.4276884853	22144.9228219948	14757.9108722927	13350.3140654563	13459.4987597544	14
ACOX1	Q15067-2	ACOX1_HUMAN	15675.3	13759.3	14680.4	13742.9	15734.5	14792.6	13708.4	15226.1	14309.7	13963.1	15183.4	12051.6	14426.3066324437	10314.0189383437	14667.7776880475	12996.1424227713	15517.2490516347	12636.6768201969	13070.160842427	13577.5893922205	13176.7088569382	13569.7351994825	14785.691191412	11657.3431753986	11
ACP1	P24666-2	PPAC_HUMAN	85625.6	87128.3	88807.3	92715.2	67952.1	74953.1	69305.6	83020.5	79418.7	80954.5	52103.2	76605.7	54581.6065079155	67123.1086085918	56893.6130914655	57849.7098877928	49184.556061527	52567.4933058495	44885.5811621414	79428.7879736594	52568.0660705246	42554.4440029411	30562.8707297215	50288.0583528619	6
ACP6	Q9NPH0;Q9NPH0-2	PPA6_HUMAN	4771.86	5824.73	5807.54	6029.25	6672.22	5809.55	8922.42	5457.58	4968.33	9124.66	10343.9	7068.4	5171.48807762914	NA	4655.50621565699	5726.19213857217	7532.00646384743	5817.32826766412	6971.3148890596	6244.64789882559	5050.3914286094	6855.27683611858	7487.35169507569	6076.32785955778	3
ACSF2	Q96CM8;Q96CM8-2;Q96CM8-3;Q96CM8-4	ACSF2_HUMAN	6887.19	7151.57	5996.49	7398.62	5739.29	8325.52	8840.08	8181.99	10765	6902.29	8168.15	10323.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ACSF3	Q4G176	ACSF3_HUMAN	24659.5	22163.1	25502.1	22069.5	24318.6	17789.6	19889.8	17402.4	22260.4	13409.4	26567.8	13353.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
ACSL1	P33121;P33121-3	ACSL1_HUMAN	11859.9	9587.49	10182	9483.55	11538.7	9829.12	11345.7	7998.56	8021.96	10753.3	9560.26	10081.5	12349.3195897611	10017.5808693664	10997.3609123761	10111.2171469678	9886.19229253586	10559.1692766428	NA	8993.21528077997	8104.02796132414	9601.96041233231	7736.21482180577	7181.28314091607	4
ACSL3	O95573	ACSL3_HUMAN	93134.4	101958	88407.4	103476	84742.1	77202.7	65484.2	92042.7	92717.4	74128.1	55333.1	76328	55032.7194726677	65032.9278694947	65691.8332795563	67978.4833070533	53291.4690766626	58555.1320562832	52389.0113687192	71785.746412639	53515.3080218578	51102.3142420577	43512.6369810809	53223.2926541586	17
ACSL4	O60488;O60488-2	ACSL4_HUMAN	36966.4	41737.3	40264.8	38179.7	36313.9	39603.5	32045.2	37694.2	39615.6	38680	34516.2	39831.7	36584.3531665383	44998.7924129421	40943.5462166738	33093.0238720118	30669.1281006107	35907.3537300682	31950.9115325115	40186.8243422275	36614.7406049512	38316.8477453344	28082.2028769311	36723.9831268843	24
ACSL5	Q9ULC5;Q9ULC5-3	ACSL5_HUMAN	37059.4	40292.3	31326.2	28142	30730.1	31339.1	29182.3	37138.7	31164.5	26886.6	32505.2	21495.9	33833.9207831701	33742.7392940231	21049.8504941973	19631.7775459616	24502.4146243503	24144.8237928371	25160.8042117426	35080.0609049156	24325.6436308135	18494.747362429	25058.1148049551	16783.8362897946	15
ACSS2	Q9NR19;Q9NR19-2	ACSA_HUMAN	4945.76	4763	5240.51	4836.37	6037.64	4385.55	8278.49	5962.13	7697.55	6973.1	8102.7	7554.24	4331.67551525566	4105.05391670802	5815.53682622638	4731.69084681026	4847.35384670346	4027.10359040398	5993.25122653856	7252.90370762606	6865.14661870319	6594.62679584074	6444.74363082996	6364.86206538506	4
ACTA1	P68133	ACTS_HUMAN	37501.8	3255.1	33570.3	51126.5	35742.8	42025	23119.3	6018.86	61242	40497.7	28531.3	27147.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
ACTB	P60709	ACTB_HUMAN	30510.3	45783.1	NA	52452.5	27874.9	23218.3	17967.3	NA	40734.2	25633	13735.7	10964.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
