,assembly,organism_name,group,taxid,total_gene_number
41,GCF_018350215.1,Panthera_leo,vertebrate_mammalian,9689,19491
42,GCF_028533385.1,Panthera_onca,vertebrate_mammalian,9690,21071
43,GCF_024362965.1,Panthera_pardus,vertebrate_mammalian,9691,20517
44,GCF_018350195.1,Panthera_tigris,vertebrate_mammalian,9694,20232
45,GCF_003327715.1,Puma_concolor,vertebrate_mammalian,9696,17659
46,GCF_009762305.2,Zalophus_californianus,vertebrate_mammalian,9704,21397
47,GCF_000321225.1,Odobenus_rosmarus_divergens,vertebrate_mammalian,9708,19094
48,GCF_012393455.1,Halichoerus_grypus,vertebrate_mammalian,9711,21245
49,GCF_000349705.1,Leptonychotes_weddellii,vertebrate_mammalian,9713,22214
50,GCF_011800145.1,Mirounga_leonina,vertebrate_mammalian,9715,19899
51,GCF_029215605.1,Mirounga_angustirostris,vertebrate_mammalian,9716,19977
52,GCF_004348235.1,Phoca_vitulina,vertebrate_mammalian,9720,19993
53,GCF_949987515.2,Delphinus_delphis,vertebrate_mammalian,9728,18393
54,GCF_963455315.2,Globicephala_melas,vertebrate_mammalian,9731,18508
55,GCF_937001465.1,Orcinus_orca,vertebrate_mammalian,9733,19396
56,GCF_963924675.1,Phocoena_phocoena,vertebrate_mammalian,9742,18252
57,GCF_002288925.2,Delphinapterus_leucas,vertebrate_mammalian,9749,18469
58,GCF_002837175.3,Physeter_macrocephalus,vertebrate_mammalian,9755,20412
59,GCF_028021215.1,Eschrichtius_robustus,vertebrate_mammalian,9764,18965
60,GCF_949987535.1,Balaenoptera_acutorostrata,vertebrate_mammalian,9767,20286
61,GCF_009873245.2,Balaenoptera_musculus,vertebrate_mammalian,9771,19686
62,GCF_030014295.1,Loxodonta_africana,vertebrate_mammalian,9785,22303
63,GCF_041296235.1,Equus_asinus,vertebrate_mammalian,9793,21414
64,GCF_041296265.1,Equus_caballus,vertebrate_mammalian,9796,21772
65,GCF_037783145.1,Equus_przewalskii,vertebrate_mammalian,9798,20517
66,GCF_000003025.6,Sus_scrofa,vertebrate_mammalian,9823,20674
67,GCF_000767855.1,Camelus_bactrianus,vertebrate_mammalian,9837,19712
68,GCF_036321535.1,Camelus_dromedarius,vertebrate_mammalian,9838,19771
69,GCF_910594005.1,Cervus_elaphus,vertebrate_mammalian,9860,22941
70,GCF_023699985.2,Odocoileus_virginianus,vertebrate_mammalian,9874,20237
71,GCF_963930625.1,Muntiacus_reevesi,vertebrate_mammalian,9886,21410
72,GCF_032452875.1,Bos_javanicus,vertebrate_mammalian,9906,21582
73,GCF_002263795.3,Bos_taurus,vertebrate_mammalian,9913,21695
74,GCF_029378745.1,Bos_indicus,vertebrate_mammalian,9915,20976
75,GCF_001704415.2,Capra_hircus,vertebrate_mammalian,9925,20572
76,GCF_016772045.2,Ovis_aries,vertebrate_mammalian,9940,21341
77,GCF_030435755.1,Ochotona_princeps,vertebrate_mammalian,9978,20332
78,GCF_033115175.1,Lepus_europaeus,vertebrate_mammalian,9983,21467
79,GCF_964237555.1,Oryctolagus_cuniculus,vertebrate_mammalian,9986,21895
80,GCF_001458135.2,Marmota_marmota_marmota,vertebrate_mammalian,9994,21014
81,GCF_021218885.2,Marmota_monax,vertebrate_mammalian,9995,21924
82,GCF_003426925.1,Urocitellus_parryii,vertebrate_mammalian,9999,19359
83,GCF_000151885.1,Dipodomys_ordii,vertebrate_mammalian,10020,19786
84,GCF_000223135.1,Cricetulus_griseus,vertebrate_mammalian,10029,21685
85,GCF_003668045.3,Cricetulus_griseus,vertebrate_mammalian,10029,21841
86,GCF_017639785.1,Mesocricetus_auratus,vertebrate_mammalian,10036,21616
87,GCF_004664715.2,Peromyscus_leucopus,vertebrate_mammalian,10041,22198
88,GCF_030254825.1,Meriones_unguiculatus,vertebrate_mammalian,10047,21259
89,GCF_900094665.2,Mus_caroli,vertebrate_mammalian,10089,21002
90,GCF_000001635.27,Mus_musculus,vertebrate_mammalian,10090,22192
91,GCF_900095145.1,Mus_pahari,vertebrate_mammalian,10093,20482
92,GCF_036323735.1,Rattus_norvegicus,vertebrate_mammalian,10116,23154
93,GCF_011064425.1,Rattus_rattus,vertebrate_mammalian,10117,21597
94,GCF_947179515.1,Apodemus_sylvaticus,vertebrate_mammalian,10129,22444
95,GCF_034190915.1,Cavia_porcellus,vertebrate_mammalian,10141,21479
96,GCF_000260255.1,Octodon_degus,vertebrate_mammalian,10160,20610
97,GCF_000247695.1,Heterocephalus_glaber,vertebrate_mammalian,10181,19978
98,GCF_027887165.1,Monodelphis_domestica,vertebrate_mammalian,13616,21694
99,GCF_028564815.1,Eubalaena_glacialis,vertebrate_mammalian,27606,20149
100,GCF_949774975.1,Lagenorhynchus_albirostris,vertebrate_mammalian,27610,19117
101,GCF_026419965.1,Kogia_breviceps,vertebrate_mammalian,27615,18980
102,GCF_014108415.1,Molossus_molossus,vertebrate_mammalian,27622,19367
103,GCF_015220235.1,Choloepus_didactylus,vertebrate_mammalian,27675,23549
104,GCF_000299155.1,Elephantulus_edwardii,vertebrate_mammalian,28737,20443
105,GCF_023721935.1,Panthera_uncia,vertebrate_mammalian,29064,20201
106,GCF_017311325.1,Ursus_maritimus,vertebrate_mammalian,29073,20419
107,GCF_027574615.1,Eptesicus_fuscus,vertebrate_mammalian,29078,20078
108,GCF_002201575.2,Neomonachus_schauinslandi,vertebrate_mammalian,29088,19838
109,GCF_900497805.2,Vombatus_ursinus,vertebrate_mammalian,29139,21909
110,GCF_003369695.1,Bos_indicus_x_Bos_taurus,vertebrate_mammalian,30522,20846
111,GCF_033118175.1,Dama_dama,vertebrate_mammalian,30532,22157
112,GCF_000165445.2,Microcebus_murinus,vertebrate_mammalian,30608,20522
113,GCF_000181295.1,Otolemur_garnettii,vertebrate_mammalian,30611,19558
114,GCF_902686445.1,Sciurus_carolinensis,vertebrate_mammalian,30640,21959
115,GCF_027475565.1,Acinonyx_jubatus,vertebrate_mammalian,32536,19999
116,GCF_019393635.1,Dromiciops_gliroides,vertebrate_mammalian,33562,21870
117,GCF_000276665.1,Chinchilla_lanigera,vertebrate_mammalian,34839,20538
118,GCF_032405125.1,Capricornis_sumatraensis,vertebrate_mammalian,34865,20155
119,GCF_905146905.1,Nyctereutes_procyonoides,vertebrate_mammalian,34880,20849
120,GCF_004028035.1,Eumetopias_jubatus,vertebrate_mammalian,34886,19668
121,GCF_008632895.1,Mastomys_coucha,vertebrate_mammalian,35658,20166
122,GCF_009829155.1,Mustela_erminea,vertebrate_mammalian,36723,20934
123,GCF_016509475.1,Prionailurus_bengalensis,vertebrate_mammalian,37029,20003
124,GCF_006229205.1,Suricata_suricatta,vertebrate_mammalian,37032,19608
125,GCF_042477335.2,Ovis_canadensis,vertebrate_mammalian,37174,20615
126,GCF_023091745.1,Budorcas_taxicolor,vertebrate_mammalian,37181,20434
127,GCF_030222135.1,Aotus_nancymaae,vertebrate_mammalian,37293,21779
128,GCF_002099425.1,Phascolarctos_cinereus,vertebrate_mammalian,38626,19945
129,GCF_903995425.1,Onychomys_torridus,vertebrate_mammalian,38674,20942
130,GCF_016432865.1,Antechinus_flavipes,vertebrate_mammalian,38775,20412
131,GCF_016699345.2,Saimiri_boliviensis_boliviensis,vertebrate_mammalian,39432,20987
132,GCF_005190385.1,Monodon_monoceros,vertebrate_mammalian,40151,18377
133,GCF_016906955.1,Phacochoerus_africanus,vertebrate_mammalian,41426,20276
134,GCF_008692025.1,Phocoena_sinus,vertebrate_mammalian,42100,19069
135,GCF_027595985.1,Sorex_araneus,vertebrate_mammalian,42254,20687
136,GCF_949786415.1,Peromyscus_eremicus,vertebrate_mammalian,42410,22148
137,GCF_016881025.1,Ictidomys_tridecemlineatus,vertebrate_mammalian,43179,20734
138,GCF_000754665.1,Bison_bison_bison,vertebrate_mammalian,43346,20657
139,GCF_018350155.1,Leopardus_geoffroyi,vertebrate_mammalian,46844,20127
140,GCF_907164565.1,Psammomys_obesus,vertebrate_mammalian,48139,20185
141,GCF_025265405.1,Mesoplodon_densirostris,vertebrate_mammalian,48708,19759
142,GCF_014898055.3,Talpa_occidentalis,vertebrate_mammalian,50954,21597
143,GCF_014108235.1,Myotis_myotis,vertebrate_mammalian,51298,20154
144,GCF_020740685.1,Jaculus_jaculus,vertebrate_mammalian,51337,20913
145,GCF_001984765.1,Castor_canadensis,vertebrate_mammalian,51338,21700
146,GCF_009764315.1,Trachypithecus_francoisi,vertebrate_mammalian,54180,21701
147,GCF_000147115.1,Myotis_lucifugus,vertebrate_mammalian,59463,19953
148,GCF_014108245.1,Pipistrellus_kuhlii,vertebrate_mammalian,59472,19329
149,GCF_004115265.2,Rhinolophus_ferrumequinum,vertebrate_mammalian,59479,19652
150,GCF_036850765.1,Saccopteryx_bilineata,vertebrate_mammalian,59482,19291
151,GCF_014754425.2,Oryx_dammah,vertebrate_mammalian,59534,21161
152,GCF_903995435.1,Acomys_russatus,vertebrate_mammalian,60746,20811
153,GCF_011762505.1,Arvicanthis_niloticus,vertebrate_mammalian,61156,22234
154,GCF_007474595.2,Lynx_canadensis,vertebrate_mammalian,61383,19742
155,GCF_022079265.1,Lynx_rufus,vertebrate_mammalian,61384,19918
156,GCF_022837055.1,Prionailurus_viverrinus,vertebrate_mammalian,61388,20111
157,GCF_028018385.1,Neofelis_nebulosa,vertebrate_mammalian,61452,20501
158,GCF_001698545.2,Rhinopithecus_bieti,vertebrate_mammalian,61621,21657
159,GCF_007565055.1,Rhinopithecus_roxellana,vertebrate_mammalian,61622,21094
160,GCF_006542625.1,Nomascus_leucogenys,vertebrate_mammalian,61853,20527
161,GCF_029834395.1,Sorex_fumeus,vertebrate_mammalian,62283,20380
162,GCF_022376915.1,Moschus_berezovskii,vertebrate_mammalian,68408,20842
163,GCF_027580195.1,Bos_mutus,vertebrate_mammalian,72004,20029
164,GCF_000283155.1,Ceratotherium_simum_simum,vertebrate_mammalian,73337,19984
165,GCF_010015895.1,Lontra_canadensis,vertebrate_mammalian,76717,20305
166,GCF_022355385.1,Mustela_nigripes,vertebrate_mammalian,77151,20269
167,GCF_020826845.1,Diceros_bicornis_minor,vertebrate_mammalian,77932,21434
168,GCF_000317375.1,Microtus_ochrogaster,vertebrate_mammalian,79684,20077
169,GCF_009828535.3,Hylobates_moloch,vertebrate_mammalian,81572,21733
170,GCF_039906515.1,Pseudorca_crassidens,vertebrate_mammalian,82174,18472
171,GCF_021613505.1,Equus_quagga,vertebrate_mammalian,89248,21070
172,GCF_019923935.1,Bubalus_bubalis,vertebrate_mammalian,89462,21359
173,GCF_004126475.2,Phyllostomus_discolor,vertebrate_mammalian,89673,19754
174,GCF_047511675.1,Marmota_flaviventris,vertebrate_mammalian,93162,21191
175,GCF_024711535.1,Dipodomys_merriami,vertebrate_mammalian,94247,24322
176,GCF_003009895.1,Hyaena_hyaena,vertebrate_mammalian,95912,20024
177,GCF_963259705.1,Myotis_daubentonii,vertebrate_mammalian,98922,21049
178,GCF_024166365.1,Elephas_maximus_indicus,vertebrate_mammalian,99487,21809
179,GCF_014885135.2,Alexandromys_fortis,vertebrate_mammalian,100897,21656
180,GCF_019054845.1,Dipodomys_spectabilis,vertebrate_mammalian,105255,20632
181,GCF_024139225.1,Suncus_etruscus,vertebrate_mammalian,109475,19819
182,GCF_000412655.1,Myotis_brandtii,vertebrate_mammalian,109478,19988
183,GCF_943737965.1,Phodopus_roborovskii,vertebrate_mammalian,109678,20480
184,GCF_027409185.1,Cynocephalus_volans,vertebrate_mammalian,110931,21694
185,GCF_018167655.1,Microtus_oregoni,vertebrate_mammalian,111838,25418
186,GCF_000442215.2,Lipotes_vexillifer,vertebrate_mammalian,118797,17942
187,GCF_000243295.1,Trichechus_manatus_latirostris,vertebrate_mammalian,127582,19108
188,GCF_017591425.1,Ochotona_curzoniae,vertebrate_mammalian,130825,21008
189,GCF_000151845.1,Pteropus_vampyrus,vertebrate_mammalian,132908,19529
190,GCF_902729225.1,Pteropus_vampyrus,vertebrate_mammalian,132908,19574
191,GCF_030020395.1,Manis_pentadactyla,vertebrate_mammalian,143292,21077
192,GCF_000260355.1,Condylura_cristata,vertebrate_mammalian,143302,17882
193,GCF_028538775.1,Myotis_yumanensis,vertebrate_mammalian,159337,19673
194,GCF_000296735.1,Chrysochloris_asiatica,vertebrate_mammalian,185453,19638
195,GCF_001890085.2,Hipposideros_armiger,vertebrate_mammalian,186990,18920
196,GCF_016433145.1,Gracilinanus_agilis,vertebrate_mammalian,191870,21142
197,GCF_014824575.3,Sturnira_hondurensis,vertebrate_mammalian,192404,18577
198,GCF_023159225.1,Perognathus_longimembris_pacificus,vertebrate_mammalian,214514,20883
199,GCF_000327345.1,Myotis_davidii,vertebrate_mammalian,225400,18851
200,GCF_003704035.1,Peromyscus_maniculatus_bairdii,vertebrate_mammalian,230844,22079
201,GCF_000334495.1,Tupaia_chinensis,vertebrate_mammalian,246437,21077
202,GCF_036850995.1,Saccopteryx_leptura,vertebrate_mammalian,249018,19426
203,GCF_024542745.1,Macaca_thibetana_thibetana,vertebrate_mammalian,257877,21402
204,GCF_950005125.1,Chionomys_nivalis,vertebrate_mammalian,269649,22222
205,GCF_003254725.2,Canis_lupus_dingo,vertebrate_mammalian,286419,20775
206,GCF_001595765.1,Miniopterus_natalensis,vertebrate_mammalian,291302,18161
207,GCF_000951035.1,Colobus_angolensis_palliatus,vertebrate_mammalian,336983,20103
208,GCF_000956105.1,Propithecus_coquereli,vertebrate_mammalian,379532,19391
209,GCF_002288905.1,Enhydra_lutris_kenyoni,vertebrate_mammalian,391180,19340
210,GCF_009834535.1,Camelus_ferus,vertebrate_mammalian,419612,20222
211,GCF_902806735.1,Myodes_glareolus,vertebrate_mammalian,447135,20671
212,GCF_020171115.1,Neogale_vison,vertebrate_mammalian,452646,20422
213,GCF_000696425.1,Galeopterus_variegatus,vertebrate_mammalian,482537,22834
214,GCF_004785775.1,Grammomys_surdaster,vertebrate_mammalian,491861,21298
215,GCF_018345385.1,Vulpes_lagopus,vertebrate_mammalian,494514,20695
216,GCF_007827085.1,Peromyscus_californicus_insignis,vertebrate_mammalian,564181,21877
217,GCF_030028045.1,Hippopotamus_amphibius_kiboko,vertebrate_mammalian,575201,22139
218,GCF_002776525.5,Piliocolobus_tephrosceles,vertebrate_mammalian,591936,21528
219,GCF_041146395.1,Eulemur_rufifrons,vertebrate_mammalian,859984,19514
220,GCF_012274545.1,Fukomys_damarensis,vertebrate_mammalian,885580,20213
221,GCF_000622305.1,Nannospalax_galili,vertebrate_mammalian,1026970,20986
222,GCF_903992535.2,Arvicola_amphibius,vertebrate_mammalian,1047088,21424
223,GCF_000298275.1,Orycteropus_afer_afer,vertebrate_mammalian,1230840,19511
224,GCF_019320065.1,Cervus_canadensis,vertebrate_mammalian,1574408,22348
225,GCF_014898765.1,Puma_yagouaroundi,vertebrate_mammalian,1608482,19954
226,GCF_003031525.2,Neophocaena_asiaeorientalis_asiaeorientalis,vertebrate_mammalian,1706337,18258
227,GCF_000164805.1,Carlito_syrichta,vertebrate_mammalian,1868482,20017
228,GCF_021234165.1,Pteronotus_mesoamericanus,vertebrate_mammalian,1884717,19214
229,GCF_001604975.1,Cebus_imitator,vertebrate_mammalian,2715852,21544
230,GCF_028023285.1,Balaenoptera_ricei,vertebrate_mammalian,2746895,19788
231,GCF_028583685.1,Petaurus_breviceps_papuanus,vertebrate_mammalian,3040969,20539
232,GCF_029407905.1,Bubalus_kerabau,vertebrate_mammalian,3119969,21871
233,GCF_003676395.1,Sagmatias_obliquidens,vertebrate_mammalian,3371155,18422
234,GCF_015708825.1,Lethenteron_reissneri,vertebrate_other,7753,19027
235,GCF_010993605.1,Petromyzon_marinus,vertebrate_other,7757,17580
236,GCF_040869285.1,Myxine_glutinosa,vertebrate_other,7769,22424
237,GCF_028641065.1,Leucoraja_erinaceus,vertebrate_other,7782,18970
238,GCF_036365525.1,Heterodontus_francisci,vertebrate_other,7792,22886
239,GCF_902713615.1,Scyliorhinus_canicula,vertebrate_other,7830,20574
240,GCF_018977255.1,Callorhinchus_milii,vertebrate_other,7868,17194
241,GCF_019279795.1,Protopterus_annectens,vertebrate_other,7888,22039
242,GCF_037176945.1,Latimeria_chalumnae,vertebrate_other,7897,19735
243,GCF_902713425.1,Acipenser_ruthenus,vertebrate_other,7906,38165
244,GCF_017654505.1,Polyodon_spathula,vertebrate_other,7913,30722
245,GCF_040954835.1,Lepisosteus_oculatus,vertebrate_other,7918,20652
246,GCF_036373705.1,Amia_calva,vertebrate_other,7924,20677
247,GCF_013347855.1,Anguilla_anguilla,vertebrate_other,7936,25903
248,GCF_018555375.3,Anguilla_rostrata,vertebrate_other,7938,25366
249,GCF_900700415.2,Clupea_harengus,vertebrate_other,7950,26665
250,GCF_000002035.6,Danio_rerio,vertebrate_other,7955,32730
251,GCF_003368295.1,Carassius_auratus,vertebrate_other,7957,53065
252,GCF_019924925.1,Ctenopharyngodon_idella,vertebrate_other,7959,25130
253,GCF_018340385.1,Cyprinus_carpio,vertebrate_other,7962,43531
254,GCF_023375975.1,Astyanax_mexicanus,vertebrate_other,7994,26736
255,GCF_001660625.3,Ictalurus_punctatus,vertebrate_other,7998,23962
256,GCF_013358815.1,Electrophorus_electricus,vertebrate_other,8005,22304
257,GCF_011004845.1,Esox_lucius,vertebrate_other,8010,24647
258,GCF_021184085.1,Oncorhynchus_gorbuscha,vertebrate_other,8017,40846
259,GCF_023373465.1,Oncorhynchus_keta,vertebrate_other,8018,40661
260,GCF_002021735.2,Oncorhynchus_kisutch,vertebrate_other,8019,41269
261,GCF_013265735.2,Oncorhynchus_mykiss,vertebrate_other,8022,41896
262,GCF_034236695.1,Oncorhynchus_nerka,vertebrate_other,8023,39518
263,GCF_905237065.1,Salmo_salar,vertebrate_other,8030,42990
264,GCF_901001165.1,Salmo_trutta,vertebrate_other,8032,42405
265,GCF_045679555.1,Salvelinus_alpinus,vertebrate_other,8036,40864
266,GCF_029448725.1,Salvelinus_fontinalis,vertebrate_other,8038,41382
267,GCF_016432855.1,Salvelinus_namaycush,vertebrate_other,8040,39192
268,GCF_902167405.1,Gadus_morhua,vertebrate_other,8049,23485
269,GCF_011125445.2,Fundulus_heteroclitus,vertebrate_other,8078,26804
270,GCF_000633615.1,Poecilia_reticulata,vertebrate_other,8081,22842
271,GCF_002775205.1,Xiphophorus_maculatus,vertebrate_other,8083,23238
272,GCF_003331165.1,Xiphophorus_hellerii,vertebrate_other,8084,23921
273,GCF_002234675.1,Oryzias_latipes,vertebrate_other,8090,22071
274,GCF_009769545.1,Cyclopterus_lumpus,vertebrate_other,8103,21480
275,GCF_001858045.2,Oreochromis_niloticus,vertebrate_other,8128,29550
276,GCF_018398535.1,Haplochromis_burtoni,vertebrate_other,8153,25294
277,GCF_900246225.1,Astatotilapia_calliptera,vertebrate_other,8154,26070
278,GCF_004354835.1,Perca_flavescens,vertebrate_other,8167,23749
279,GCF_010015445.1,Perca_fluviatilis,vertebrate_other,8168,25021
280,GCF_900880675.1,Sparus_aurata,vertebrate_other,8175,25735
281,GCF_904848185.1,Acanthopagrus_latus,vertebrate_other,8177,23786
282,GCF_001640805.2,Lates_calcarifer,vertebrate_other,8187,25072
283,GCF_000735185.1,Notothenia_coriiceps,vertebrate_other,8208,24789
284,GCF_902827175.1,Gymnodraco_acuticeps,vertebrate_other,8218,24925
285,GCF_914725855.1,Thunnus_albacares,vertebrate_other,8236,24623
286,GCF_963924715.1,Thunnus_thynnus,vertebrate_other,8237,24665
287,GCF_910596095.1,Thunnus_maccoyii,vertebrate_other,8240,24659
288,GCF_016859285.1,Xiphias_gladius,vertebrate_other,8245,21362
289,GCF_024713975.1,Paralichthys_olivaceus,vertebrate_other,8255,22134
290,GCF_949316205.1,Platichthys_flesus,vertebrate_other,8260,22239
291,GCF_947347685.1,Pleuronectes_platessa,vertebrate_other,8262,22945
292,GCF_009819705.1,Hippoglossus_hippoglossus,vertebrate_other,8267,22234
293,GCF_040938575.1,Ambystoma_mexicanum,vertebrate_other,8296,24121
294,GCF_031143425.1,Pleurodeles_waltl,vertebrate_other,8319,22339
295,GCF_027579735.1,Bombina_bombina,vertebrate_other,8345,22468
296,GCF_000004195.4,Xenopus_tropicalis,vertebrate_other,8364,21832
297,GCF_905171765.1,Bufo_bufo,vertebrate_other,8384,21517
298,GCF_905171775.1,Rana_temporaria,vertebrate_other,8407,23707
299,GCF_023653815.2,Caretta_caretta,vertebrate_other,8467,20259
300,GCF_015237465.2,Chelonia_mydas,vertebrate_other,8469,19752
301,GCF_011386835.1,Chrysemys_picta_bellii,vertebrate_other,8478,25216
302,GCF_030867095.1,Alligator_mississippiensis,vertebrate_other,8496,20269
303,GCF_001723895.1,Crocodylus_porosus,vertebrate_other,8502,14717
304,GCF_019175285.1,Sceloporus_undulatus,vertebrate_other,8520,19905
305,GCF_963506605.1,Zootoca_vivipara,vertebrate_other,8524,20197
306,GCF_900518725.1,Notechis_scutatus,vertebrate_other,8663,19770
307,GCF_900518735.1,Pseudonaja_textilis,vertebrate_other,8673,19358
308,GCF_036370855.1,Dromaius_novaehollandiae,vertebrate_other,8790,17857
309,GCF_028389875.1,Rhea_pennata,vertebrate_other,8795,16410
310,GCF_040807025.1,Struthio_camelus,vertebrate_other,8801,17572
311,GCF_047663525.1,Anas_platyrhynchos,vertebrate_other,8839,17676
312,GCF_040182565.1,Anser_cygnoides,vertebrate_other,8845,18126
313,GCF_013377495.2,Cygnus_atratus,vertebrate_other,8868,15671
314,GCF_009769625.2,Cygnus_olor,vertebrate_other,8869,16150
315,GCF_011077185.1,Oxyura_jamaicensis,vertebrate_other,8884,16416
316,GCF_020740795.1,Apus_apus,vertebrate_other,8895,14765
317,GCF_000747805.2,Chaetura_pelagica,vertebrate_other,8897,14101
318,GCF_036013475.1,Columba_livia,vertebrate_other,8932,17095
319,GCF_023634155.1,Falco_peregrinus,vertebrate_other,8954,16083
320,GCF_929443795.1,Astur_gentilis,vertebrate_other,8957,16976
321,GCF_947461875.1,Haliaeetus_albicilla,vertebrate_other,8969,17123
322,GCF_002078875.1,Numida_meleagris,vertebrate_other,8996,16083
323,GCF_019232065.1,Centrocercus_urophasianus,vertebrate_other,9002,14703
324,GCF_038088225.1,Cyrtonyx_montezumae,vertebrate_other,9017,15455
325,GCF_016699485.2,Gallus_gallus,vertebrate_other,9031,18024
326,GCF_016700215.2,Gallus_gallus,vertebrate_other,9031,18016
327,GCF_004143745.1,Phasianus_colchicus,vertebrate_other,9054,16222
328,GCF_000146605.3,Meleagris_gallopavo,vertebrate_other,9103,17981
329,GCF_028858705.1,Grus_americana,vertebrate_other,9117,17399
330,GCF_022539315.1,Serinus_canaria,vertebrate_other,9135,15457
331,GCF_001522545.3,Parus_major,vertebrate_other,9157,15069
332,GCF_001447265.1,Sturnus_vulgaris,vertebrate_other,9172,15233
333,GCF_023055355.1,Agelaius_tricolor,vertebrate_other,9191,16833
334,GCF_963921805.1,Phalacrocorax_carbo,vertebrate_other,9209,16906
335,GCF_000699145.1,Aptenodytes_forsteri,vertebrate_other,9233,14550
336,GCF_000699105.1,Pygoscelis_adeliae,vertebrate_other,9238,13747
337,GCF_003957555.1,Calypte_anna,vertebrate_other,9244,14711
338,GCF_024256425.1,Clarias_gariepinus,vertebrate_other,13013,24297
339,GCF_032191835.1,Heteronotia_binoei,vertebrate_other,13085,20682
340,GCF_012275295.1,Melopsittacus_undulatus,vertebrate_other,13146,16458
341,GCF_017639515.1,Carcharodon_carcharias,vertebrate_other,13397,19440
342,GCF_905237075.1,Dicentrarchus_labrax,vertebrate_other,13489,23890
343,GCF_027409825.1,Scomber_japonicus,vertebrate_other,13676,23573
344,GCF_963691925.1,Scomber_scombrus,vertebrate_other,13677,22929
345,GCF_000230535.1,Pelodiscus_sinensis,vertebrate_other,13735,19518
346,GCF_900747795.2,Erpetoichthys_calabaricus,vertebrate_other,27687,22075
347,GCF_963854185.1,Sardina_pilchardus,vertebrate_other,27697,26477
348,GCF_014851395.1,Micropterus_salmoides,vertebrate_other,27706,27179
349,GCF_029633855.1,Hoplias_malabaricus,vertebrate_other,27720,26286
350,GCF_963576545.1,Limanda_limanda,vertebrate_other,27771,22769
351,GCF_009764565.3,Dermochelys_coriacea,vertebrate_other,27794,18775
352,GCF_035594765.1,Anolis_carolinensis,vertebrate_other,28377,20447
353,GCF_963932015.1,Anas_acuta,vertebrate_other,28680,16993
354,GCF_000732505.1,Cyprinodon_variegatus,vertebrate_other,28743,23277
